         296499595 function calls (296492157 primitive calls) in 164.738 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.001    0.001 pyparsing.py:4741(srange)
        4    0.000    0.000    0.001    0.000 warnings.py:119(filterwarnings)
        1    0.000    0.000    0.001    0.001 expr.py:2(<module>)
     4218    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      406    0.001    0.000    0.001    0.000 {built-in method numpy.core.multiarray.zeros}
      381    0.000    0.000    0.001    0.000 re.py:169(match)
        1    0.000    0.000    0.001    0.001 ipaddress.py:9(<module>)
       51    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1067(_path_hooks)
        1    0.000    0.000    0.001    0.001 common.py:3(<module>)
        1    0.000    0.000    0.001    0.001 panelnd.py:8(create_nd_panel_factory)
        6    0.000    0.000    0.001    0.000 config.py:766(is_instance_factory)
        3    0.000    0.000    0.001    0.000 pool.py:225(_repopulate_pool)
      265    0.001    0.000    0.001    0.000 enum.py:70(__setitem__)
     1550    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
       66    0.000    0.000    0.001    0.000 traceback.py:279(line)
        1    0.000    0.000    0.001    0.001 subprocess.py:42(<module>)
        1    0.000    0.000    0.001    0.001 json.py:2(<module>)
        1    0.000    0.000    0.001    0.001 sysconfig.py:10(<module>)
        1    0.000    0.000    0.001    0.001 context.py:1(<module>)
       12    0.000    0.000    0.001    0.000 rcsetup.py:445(validate_font_properties)
        5    0.000    0.000    0.001    0.000 fontconfig_pattern.py:125(parse)
       66    0.000    0.000    0.001    0.000 linecache.py:15(getline)
      596    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
       28    0.000    0.000    0.001    0.000 panel.py:1542(_panel_arith_method)
      532    0.000    0.000    0.001    0.000 arrayprint.py:832(<genexpr>)
        1    0.000    0.000    0.001    0.001 groupby.py:1041(GroupBy)
        1    0.000    0.000    0.001    0.001 engines.py:3(<module>)
      163    0.000    0.000    0.001    0.000 functools.py:44(update_wrapper)
       51    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
      360    0.001    0.000    0.001    0.000 model_comprehension1.py:219(insert_episodic_memory)
       66    0.000    0.000    0.001    0.000 linecache.py:37(getlines)
        1    0.000    0.000    0.001    0.001 array.py:3(<module>)
       12    0.000    0.000    0.001    0.000 pyparsing.py:3837(parseImpl)
      152    0.000    0.000    0.001    0.000 enum.py:795(__or__)
        1    0.000    0.000    0.001    0.001 excel.py:3(<module>)
       40    0.000    0.000    0.001    0.000 ops.py:1052(_flex_method_SERIES)
        1    0.000    0.000    0.001    0.001 scanner.py:2(<module>)
